Borsa_Fiyati,Sistem_Hacmi,Sebekeden_Alis,Sebekeye_Satis,Kooperatif_Tasarrufu
7.34017248135103,-0.1265,2992.5765,0,-0.51612
7.34017007430948,-0.1265,3034.9265,0,-0.51612
7.3401660525064,-0.1265,3108.4265,0,-0.51612
7.34016808586409,-0.1265,3070.8265,0,-0.51612
3.08999277087819,-0.1265,2975.0265,0,0.021505
3.08995998127932,-0.1265,537.6265,0,0.021505
3.08993629535494,-0.1265,337.8265,0,0.021505
3.08993208021514,-0.1265,316.8765,0,0.021505
3.08993297981915,-0.1265,321.1265,0,0.021505
3.08992985368925,-0.1265,306.8265,0,0.021505
3.08993062310165,-0.1265,310.2265,0,0.021505
3.08993750790051,-0.1265,344.3765,0,0.021505
4.97062478427952,-0.1265,346.4765,0,-0.216315
4.97062415331813,-0.1265,346.8265,0,-0.216315
4.97008266951665,-0.1265,2616.8765,0,-0.216315
4.82630256246815,238.8302,2364.4198,0,408.399642
4.51200327844346,935.251,1621.399,0,1599.27921
4.44892856050949,1146.185,1469.065,0,1959.97635
4.367103567454,1214.965,1016.085,0,2077.59015
4.34744898205275,1283.145,958.205,0,2194.17795
4.48646784098565,828.3539,1272.7461,0,1416.485169
4.64786461156814,603.262,1995.788,0,1031.57802
4.76719075390333,350.276,2252.824,0,598.97196
7.3367995559722,2.7169,3458.1331,0,11.084952
7.34016985881465,-0.1265,3038.7765,0,-0.51612
7.34017107210256,-0.1265,3017.2265,0,-0.51612
7.34017377347732,-0.1265,2970.3265,0,-0.51612
7.34018018914414,-0.1265,2864.5765,0,-0.51612
3.08999266735055,-0.1265,2933.0265,0,0.021505
3.08996194637101,-0.1265,565.3765,0,0.021505
3.08993884952946,-0.1265,351.9265,0,0.021505
